Dimension,TimeVect,TimeMatrix
10,5.2e-6,8.6e-6
10,4.0e-7,1.6e-6
10,3.0e-7,1.9e-6
10,2.0e-7,1.4e-6
10,2.0e-7,1.0e-6
10,1.0e-7,1.0e-6
10,1.0e-7,1.1e-6
10,1.0e-7,1.0e-6
10,1.0e-7,9.0e-7
10,3.0e-7,1.3e-6
20,7.0e-7,3.8e-6
20,2.0e-7,3.2e-6
20,2.0e-7,2.5e-6
20,1.0e-7,3.1e-6
20,1.0e-7,2.4e-6
20,1.0e-7,2.4e-6
20,3.0e-7,3.1e-6
20,1.0e-7,2.3e-6
20,1.0e-7,2.3e-6
20,1.0e-7,2.7e-6
30,1.0e-7,5.3e-6
30,1.0e-7,4.2e-6
30,2.0e-7,4.7e-6
30,1.0e-7,3.9e-6
30,1.0e-7,4.9e-6
30,1.0e-7,4.6e-6
30,1.0e-7,4.2e-6
30,1.0e-7,4.7e-6
30,1.0e-7,4.5e-6
30,1.0e-7,3.8e-6
40,2.0e-7,9.1e-6
40,1.0e-7,7.9e-6
40,2.0e-7,7.8e-6
40,2.0e-7,8.2e-6
40,1.0e-7,8.3e-6
40,1.0e-7,7.3e-6
40,1.0e-7,7.3e-6
40,1.0e-7,6.8e-6
40,1.0e-7,8.7e-6
40,1.0e-7,7.5e-6
50,1.0e-7,1.0e-5
50,2.0e-7,1.02e-5
50,2.0e-7,1.03e-5
50,1.0e-7,1.04e-5
50,1.0e-7,9.8e-6
50,1.0e-7,1.02e-5
50,1.0e-7,9.4e-6
50,2.0e-7,9.5e-6
50,1.0e-7,9.3e-6
50,1.0e-7,1.05e-5
60,2.0e-7,1.26e-5
60,1.0e-7,1.28e-5
60,2.0e-7,1.37e-5
60,2.0e-7,1.33e-5
60,2.0e-7,1.28e-5
60,1.0e-7,1.36e-5
60,1.0e-7,1.31e-5
60,1.0e-7,1.75e-5
60,3.0e-7,1.53e-5
60,4.0e-7,1.18e-5
70,8.0e-7,1.73e-5
70,2.0e-7,1.55e-5
70,2.0e-7,1.51e-5
70,1.0e-7,1.7e-5
70,3.0e-7,2.61e-5
70,8.0e-7,1.94e-5
70,2.0e-7,1.59e-5
70,1.0e-7,1.94e-5
70,3.0e-7,2.48e-5
70,1.8e-6,2.16e-5
80,6.0e-7,2.58e-5
80,2.0e-7,2.59e-5
80,2.1e-6,4.18e-5
80,1.0e-7,4.15e-5
80,1.0e-7,3.9e-5
80,1.0e-7,4.39e-5
80,1.0e-7,4.11e-5
80,1.0e-7,4.3e-5
80,2.0e-7,4.15e-5
80,1.0e-7,4.44e-5
90,2.0e-7,5.74e-5
90,2.0e-7,5.74e-5
90,1.0e-7,6.69e-5
90,2.0e-7,5.67e-5
90,2.0e-7,5.47e-5
90,2.0e-7,5.51e-5
90,3.0e-7,6.9e-5
90,7.0e-7,6.3e-5
90,8.0e-7,6.66e-5
90,1.2e-6,6.75e-5
100,5.0e-7,6.7e-5
100,2.0e-7,6.38e-5
100,2.0e-7,6.55e-5
100,2.0e-7,6.36e-5
100,2.0e-7,6.03e-5
100,7.0e-7,5.82e-5
100,1.0e-7,6.44e-5
100,2.0e-7,6.14e-5
100,2.0e-7,6.36e-5
100,5.0e-7,6.35e-5
