Size,Naive,Better,Blas
50,0.001038,0.001138,0.000159
50,0.001074,0.001126,0.000117
50,0.001182,0.001085,0.000101
50,0.000876,0.000879,0.000101
50,0.001048,0.001127,0.000117
50,0.001146,0.001220,0.000125
50,0.001227,0.001258,0.000104
50,0.001052,0.000971,0.000083
50,0.000960,0.001243,0.000119
50,0.001094,0.001124,0.000081
100,0.009316,0.007902,0.000701
100,0.007740,0.007308,0.000648
100,0.007397,0.007295,0.000777
100,0.007333,0.007143,0.000645
100,0.007952,0.007310,0.000652
100,0.008088,0.007228,0.000652
100,0.008456,0.007212,0.000652
100,0.007262,0.007271,0.000661
100,0.007420,0.007209,0.000638
100,0.007757,0.007299,0.000649
150,0.027597,0.023962,0.002097
150,0.024466,0.037983,0.003828
150,0.043264,0.043902,0.005252
150,0.045202,0.044266,0.003682
150,0.047632,0.032689,0.002253
150,0.025645,0.033598,0.003644
150,0.034484,0.043536,0.003700
150,0.042739,0.045557,0.003703
150,0.049240,0.054678,0.004258
150,0.033961,0.047054,0.002856
200,0.076125,0.062895,0.004908
200,0.081091,0.084830,0.006098
200,0.081466,0.061811,0.005713
200,0.090167,0.078070,0.004842
200,0.056829,0.057000,0.005198
200,0.098376,0.091995,0.008466
200,0.108006,0.108810,0.011381
200,0.107539,0.106359,0.008476
200,0.091036,0.066715,0.004918
200,0.058655,0.094248,0.008918
250,0.178954,0.158513,0.016626
250,0.150199,0.126665,0.010050
250,0.142951,0.163586,0.011590
250,0.112919,0.125982,0.009265
250,0.157145,0.200039,0.018919
250,0.186789,0.184438,0.017259
250,0.207427,0.172515,0.009659
250,0.141588,0.124512,0.009916
250,0.151724,0.125077,0.012534
250,0.113250,0.155672,0.016265
300,0.316792,0.341431,0.031628
300,0.402455,0.304799,0.013111
300,0.210364,0.158984,0.011069
300,0.136167,0.130311,0.010080
300,0.128095,0.129259,0.010020
300,0.135778,0.127265,0.009773
300,0.128130,0.153820,0.024616
300,0.117106,0.251502,0.009984
300,0.168501,0.143909,0.009711
300,0.123143,0.157853,0.011133
350,0.224151,0.238473,0.031269
350,0.275534,0.206373,0.015756
350,0.224176,0.215661,0.015823
350,0.262565,0.196384,0.024881
350,0.374485,0.228315,0.015332
350,0.385926,0.412992,0.047899
350,0.385469,0.231915,0.015659
350,0.233434,0.223219,0.015079
350,0.237254,0.218258,0.016207
350,0.207544,0.205406,0.016096
400,0.374658,0.441328,0.022909
400,0.394336,0.456587,0.068032
400,0.452185,0.365153,0.022805
400,0.530152,0.337326,0.022588
400,0.318601,0.300438,0.023049
400,0.386511,0.608370,0.070540
400,0.434343,0.317869,0.024036
400,0.347679,0.318902,0.025927
400,0.313362,0.322471,0.029462
400,0.375025,0.407282,0.024959
450,0.441886,0.694314,0.055060
450,0.863093,0.865429,0.096170
450,0.913777,0.458399,0.036115
450,0.553141,0.713505,0.036107
450,0.520485,0.532807,0.105477
450,0.772489,0.640684,0.036354
450,0.482480,0.448301,0.037377
450,0.496442,0.770212,0.034417
450,0.769990,0.550954,0.038722
450,0.490181,0.454438,0.032291
500,1.123028,0.646636,0.053163
500,0.952271,0.971951,0.047466
500,0.753324,0.614083,0.047468
500,0.663700,0.627755,0.045847
500,0.938198,0.807541,0.047551
500,0.757426,0.904942,0.045659
500,0.671696,1.409091,0.152964
500,0.826411,0.664393,0.047627
500,0.685333,0.723326,0.067154
500,0.726848,0.847370,0.047872
